,Date,Price,NearStat,StatDist(miles),Prop_Type,Bedrooms,Bathrooms,Floor_Size,Outdoor,Portered,Contract_Type,Outcode,Outcode2,Outcode3,Postcode,Centrality,North,Links,Date_Scraped,Avg_price
907,20220820.0,575000.0,Westbourne Park Station,0.3,Flat,1.0,1.0,,0.0,0.0,,W2,W2,W25,W25QX,4.820807931360688,1.0,,2022-09-02,183.0
908,20220524.0,700000.0,Bayswater Station,0.2,Flat,1.0,1.0,,1.0,0.0,Leasehold,W2,W2,W24,W24NU,4.547803238912373,1.0,,2022-09-02,214.0
909,20220728.0,750000.0,Barbican Station,0.1,Flat,1.0,1.0,,1.0,0.0,,EC2Y,EC2,EC2Y8,EC2Y8BU,2.548384235573833,1.0,,2022-09-02,124.0
910,20220728.0,485000.0,Elephant & Castle Station,0.3,Studio,0.0,1.0,,1.0,1.0,Leasehold,SE17,SE17,SE171,SE171GE,2.6643240957175336,0.0,,2022-09-02,77.0
911,20220728.0,700000.0,Elephant & Castle Station,0.2,Flat,2.0,2.0,,0.0,0.0,Leasehold,SE1,SE1,SE16,SE16EJ,2.556744321006217,0.0,,2022-09-02,70.0
912,20220713.0,450000.0,Upper Holloway Station,0.5,Flat,1.0,1.0,,1.0,0.0,Leasehold,N7,N7,N76,N76LJ,5.7004054539316975,1.0,,2022-09-02,89.0
913,20220627.0,600000.0,Kilburn Park Station,0.2,Flat,2.0,2.0,,1.0,0.0,Leasehold,NW6,NW6,NW65,NW65FR,5.6733851641023305,1.0,,2022-09-02,65.0
914,20220721.0,525000.0,Westbourne Park Station,0.3,Flat,1.0,1.0,,0.0,0.0,Leasehold,W10,W10,W105,W105PR,5.770085446945308,1.0,,2022-09-02,128.0
915,20220727.0,525000.0,Chalk Farm Station,0.0,Flat,1.0,1.0,,1.0,1.0,Leasehold,NW3,NW3,NW32,NW32DT,4.504768399061828,1.0,,2022-09-02,181.0
916,20220712.0,700000.0,"Edgware Road (Circle, District, Hammersmith & City) Station",0.3,Flat,3.0,2.0,1024.0,0.0,1.0,Leasehold,W2,W2,W22,W22QT,2.740109815854575,1.0,,2022-09-02,312.0
